trial,n_classes,c_start,c_end,radius_closing,radius_opening,dice,hausdorff,score
94,4,1,3,2,2,0.025679952104002736,48.12483766206386,-0.022444885558061123
29,5,2,2,4,1,0.02507658210872542,48.12483766206386,-0.023048255553338438
114,3,1,2,1,2,0.02384214575252153,48.12483766206386,-0.02428269190954233
41,3,1,2,1,1,0.023753262130169737,48.12483766206386,-0.024371575531894122
90,3,1,2,1,1,0.023753262130169737,48.12483766206386,-0.024371575531894122
128,3,1,2,2,2,0.023610066666926426,48.12483766206386,-0.024514770995137432
141,5,2,4,2,1,0.02337278827364738,48.12483766206386,-0.024752049388416478
140,5,2,4,2,1,0.02337278827364738,48.12483766206386,-0.024752049388416478
139,5,2,4,2,1,0.02337278827364738,48.12483766206386,-0.024752049388416478
142,5,2,4,2,1,0.02337278827364738,48.12483766206386,-0.024752049388416478
6,5,3,4,4,2,0.021448793730254906,46.9041575982343,-0.02545536386797939
146,5,1,2,3,1,0.022277923938667333,48.12483766206386,-0.025846913723396526
31,5,3,3,4,1,0.02027792572507626,46.9041575982343,-0.026626231873158036
53,5,3,3,4,1,0.02027792572507626,46.9041575982343,-0.026626231873158036
121,4,1,2,3,2,0.018284967679823957,48.12483766206386,-0.029839869982239902
15,5,4,4,4,2,0.011624627533690575,46.69047011971501,-0.03506584258602443
101,5,4,4,4,1,0.011559886677298889,46.9041575982343,-0.03534427092093541
8,4,3,3,4,2,0.011456630398681819,46.9041575982343,-0.03544752719955248
109,3,2,2,4,1,0.011428506653970844,46.9041575982343,-0.03547565094426346
120,3,2,2,4,1,0.011428506653970844,46.9041575982343,-0.03547565094426346
100,3,2,2,4,1,0.011428506653970844,46.9041575982343,-0.03547565094426346
10,3,2,2,4,2,0.011412274671772119,46.9041575982343,-0.03549188292646218
16,3,2,2,4,2,0.011412274671772119,46.9041575982343,-0.03549188292646218
12,4,1,1,1,1,0.0011458177651571763,39.06404996924922,-0.037918232204092045
28,5,4,4,1,2,0.0,38.948684188300895,-0.03894868418830089
111,5,1,1,1,2,0.000504746014609593,40.91454509095757,-0.04040979907634798
83,3,1,1,3,1,0.005439041478794329,48.12483766206386,-0.04268579618326953
18,4,1,2,2,1,0.005077063928633581,48.12483766206386,-0.04304777373343028
122,5,1,2,2,2,0.00467687074829932,48.12483766206386,-0.04344796691376454
5,3,1,1,3,2,0.004509410810524748,48.12483766206386,-0.04361542685153911
11,3,1,1,3,2,0.004509410810524748,48.12483766206386,-0.04361542685153911
47,3,1,1,3,2,0.004509410810524748,48.12483766206386,-0.04361542685153911
13,4,1,2,2,2,0.004355226335349878,48.12483766206386,-0.04376961132671398
123,4,1,2,2,2,0.004355226335349878,48.12483766206386,-0.04376961132671398
37,5,3,4,3,2,0.001858517112754401,46.9041575982343,-0.0450456404854799
72,3,2,2,3,1,0.001314447010041628,46.9041575982343,-0.04558971058819267
79,3,2,2,3,1,0.001314447010041628,46.9041575982343,-0.04558971058819267
105,3,2,2,3,1,0.001314447010041628,46.9041575982343,-0.04558971058819267
82,3,2,2,3,2,0.0012836654739665381,46.9041575982343,-0.04562049212426776
36,3,2,2,3,2,0.0012836654739665381,46.9041575982343,-0.04562049212426776
66,3,2,2,3,2,0.0012836654739665381,46.9041575982343,-0.04562049212426776
43,3,2,2,3,2,0.0012836654739665381,46.9041575982343,-0.04562049212426776
88,4,3,3,3,1,0.001029900129043306,46.9041575982343,-0.04587425746919099
69,5,3,3,3,1,0.000998624041987809,46.9041575982343,-0.04590553355624649
91,5,3,3,3,1,0.000998624041987809,46.9041575982343,-0.04590553355624649
27,5,3,3,3,2,0.000956174202557594,46.9041575982343,-0.045947983395676704
92,5,4,4,3,2,0.0007276365455455,46.69047011971501,-0.045962833574169505
3,5,4,4,3,2,0.0007276365455455,46.69047011971501,-0.045962833574169505
126,5,4,4,3,2,0.0007276365455455,46.69047011971501,-0.045962833574169505
151,5,4,4,3,1,0.0007498998126970422,46.9041575982343,-0.04615425778553726
153,5,4,4,3,1,0.0007498998126970422,46.9041575982343,-0.04615425778553726
144,5,4,4,3,1,0.0007498998126970422,46.9041575982343,-0.04615425778553726
152,5,4,4,3,1,0.0007498998126970422,46.9041575982343,-0.04615425778553726
130,5,3,4,2,2,0.00029482956712942906,46.9041575982343,-0.04660932803110487
143,5,4,4,2,1,7.921698412139563e-05,46.69047011971501,-0.04661125313559361
138,5,4,4,2,1,7.921698412139563e-05,46.69047011971501,-0.04661125313559361
137,5,4,4,2,2,7.702205549212563e-05,46.69047011971501,-0.04661344806422288
116,4,3,3,1,2,0.0,46.69047011971501,-0.04669047011971501
75,4,3,3,1,2,0.0,46.69047011971501,-0.04669047011971501
133,4,3,3,1,2,0.0,46.69047011971501,-0.04669047011971501
70,4,3,3,1,2,0.0,46.69047011971501,-0.04669047011971501
26,5,3,3,2,2,0.00017978279200143825,46.9041575982343,-0.04672437480623286
74,5,3,3,2,1,0.00017789136099418722,46.9041575982343,-0.04672626623724011
113,3,2,2,2,2,0.00014366313263761732,46.9041575982343,-0.04676049446559668
42,3,2,2,2,2,0.00014366313263761732,46.9041575982343,-0.04676049446559668
25,4,3,3,2,2,0.00013802317685185697,46.9041575982343,-0.046766134421382444
